Process	Genes
activation of MAPK activity	ADAM8 ADORA2B ADRA2A ADRA2B ADRA2C ALK ARRB1 AVPI1 AXIN1 BIRC7 BMP2 C1QTNF2 C5 C5AR1 CCL19 CD74 CD81 CDK1 CHRNA7 CSPG4 CXCR4 DAB2 DAB2IP DAXX DBNL DRD4 EFNA1 EPGN ERCC6 FCER1A FGF10 FGF2 FPR1 FRS2 GAB1 GHR GHRL GNG3 GRM1 GRM4 HGF IKBKG IL1B INSR IQGAP3 IRAK1 IRAK2 ITGA1 KIT LPAR1 LPAR2 LPAR3 LRRK2 MADD MAP2K1 MAP2K2 MAP2K3 MAP2K4 MAP2K5 MAP2K6 MAP2K7 MAP3K1 MAP3K10 MAP3K11 MAP3K2 MAP3K5 MAP3K6 MAP3K7 MAP3K9 MAP4K1 MAP4K2 MAP4K5 MAPK1 MAPK10 MAPK11 MAPK14 MAPK3 MAPK8IP3 MAPKAPK2 MAPKAPK3 MAPKAPK5 MDFI MDFIC MET MLK4 MOS MUC20 MUL1 NOD1 NOD2 NTF3 NTRK3 PAK3 PDE6G PDE6H PIK3CB PKN1 PLA2G1B PLCE1 PRKAA1 PROK1 PROK2 PTPLAD1 PTPN11 PTPRC PXN RIPK1 RIPK2 RPS27A S1PR2 SHC1 SHC2 SOD1 SPAG9 SYK TAB1 TAB2 TAB3 TDGF1 TGFA TGFB3 THBS1 TLR4 TNF TNFSF11 TP73 TRAF6 UBA52 UBB UBC WNT5A WNT7B ZAK
inactivation of MAPK activity	CAV1 DUSP1 DUSP10 DUSP14 DUSP16 DUSP18 DUSP19 DUSP2 DUSP21 DUSP22 DUSP3 DUSP4 DUSP5 DUSP6 DUSP7 DUSP8 DUSP9 GPS1 GPS2 LAX1 MBIP MKP7 PGS1 PPP2CA PPP2R1A PRKCA RGS3 RGS4 SPRED1 SPRED2 SPRED3
protein polyubiquitination	AMFR ANAPC1 ANAPC10 ANAPC11 ANAPC13 ANAPC2 ANAPC4 ANAPC5 ANAPC7 ARIH2 ASB2 AXIN1 BARD1 BCL2 BIRC2 BLMH BRCA1 BTRC CDC16 CDC23 CDC26 CDC27 CDC34 CDKN2A CHFR CUL3 DDB2 DTL DZIP3 ERCC8 FBXO22 FBXO4 FBXW11 FZR1 G2E3 GPR84 HACE1 HDAC6 HUWE1 ITCH KLHL20 KLHL3 KLHL42 LNPEP LRSAM1 MAGEL2 MARCH1 MARCH5 MARCH6 MARCH8 MGRN1 MKRN1 NEDD4 NEDD4L NHLRC1 NPEPPS PARK2 PELI1 PELI3 PPIL2 PRPF19 PSMA1 PSMA2 PSMA3 PSMA4 PSMA5 PSMA6 PSMA7 PSMA8 PSMB1 PSMB10 PSMB11 PSMB2 PSMB3 PSMB4 PSMB5 PSMB6 PSMB7 PSMB8 PSMB9 PSMC1 PSMC2 PSMC3 PSMC4 PSMC5 PSMC6 PSMD1 PSMD10 PSMD11 PSMD12 PSMD13 PSMD14 PSMD2 PSMD3 PSMD4 PSMD5 PSMD6 PSMD7 PSMD8 PSMD9 PSME1 PSME2 PSME3 PSME4 PSMF1 RBCK1 RC3H2 RFFL RNF111 RNF115 RNF126 RNF146 RNF152 RNF167 RNF168 RNF180 RNF187 RNF20 RNF216 RNF31 RNF34 RNF4 RNF41 RNF5 RNF6 RNF8 RPS27A RUSC1 SASH1 SHARPIN SHPRH SKP2 SMURF1 SOX2 STUB1 TNFAIP3 TNKS TNKS2 TOPORS TPP2 TRAF2 TRAF6 TRIM21 TRIM27 TRIM32 TRIM38 TRIM5 TRIM56 TTC3 UBA52 UBB UBC UBE2A UBE2B UBE2C UBE2D1 UBE2D2 UBE2D3 UBE2D4 UBE2E1 UBE2E2 UBE2E3 UBE2G1 UBE2G2 UBE2H UBE2K UBE2L3 UBE2N UBE2O UBE2Q2 UBE2R2 UBE2S UBE2T UBE2V1 UBE2V2 UBE2W UBE3A UBE3C UBE4A UBOX5 UBR5 WWP2 ZFP91 ZNF738 ZNRF1 ZSWIM2
microtubule cytoskeleton organization	AK7 APC ARHGEF10 ARHGEF2 ASUN ATXN3 ATXN7 AUNIP AURKA AURKB AURKC AXIN1 BBS2 BBS4 BICD1 BICD2 BIRC5 BLOC1S2 BUB3 C11ORF63 C6ORF182 CAMSAP2 CAMSAP3 CAPN6 CASC5 CAV3 CCDC8 CCDC87 CCSER2 CD63 CDC42BPA CDK1 CDK5RAP2 CENPA CENPJ CEP120 CEP192 CEP350 CEP57 CEP57L1 CEP63 CEP72 CHAMP1 CHD3 CHD4 CHEK2 CHP1 CIB1 CKAP5 CLASP1 CLASP2 CLIP1 CNP CNTN2 CRIPT CRYAB CSNK1D CUL7 CUL9 DAG1 DCTN2 DCTN6 DICER1 DISC1 DOCK7 DST DVL1 DYNC1H1 DYNC1LI2 DYNLT1 EML1 ESPL1 EYA1 FBXO5 FER FGF10 FGF13 FGFR1OP FLNA FMN2 FOPNL G3V2T6 GABARAP GAPDH GAS2L1 GAS2L2 GAS2L3 GCC2 GPSM2 HAUS1 HAUS2 HAUS3 HAUS4 HAUS5 HAUS6 HAUS7 HAUS8 HDAC3 HOOK3 HTT IFT172 IFT88 INO80 INSC KATNA1 KIF11 KIF18A KIF18B KIF19 KIF20A KIF24 KIF2A KIF2B KIF2C KIF3B KIFC1 KIZ KLK9 KNSTRN LMNA MAP10 MAP1A MAP1B MAP1S MAP2 MAP4 MAP6 MAP6D1 MAP7 MAP7D1 MAP7D2 MAP7D3 MAP9 MAPT MARK1 MARK4 MID1 MOS MTCL1 MYBL2 MYH9 NAV1 NCOR1 NDC80 NDE1 NEFH NEFL NEFM NEK2 NEK6 NEK7 NEURL1 NIN NTMT1 NUMA1 NUSAP1 OBSL1 OFD1 PAFAH1B1 PARD3 PCM1 PCNT PEX14 PLA2G3 PLK1 PLK2 PLK3 PPP2R4 PRC1 PRKCZ PSRC1 PTK2 RAN RANBP1 RANBP10 RANBP9 RB1 RCC1 RGS14 RHOA RNF19A RP1 RSPH1 RSPH4A RSPH9 SAC3D1 SEH1L SGOL1 SLAIN2 SMC1A SMC3 SON SPAG5 SPAST SPC25 SPDL1 SPEF2 SPICE1 SPIRE1 SPIRE2 SPRY1 SPRY2 SRGAP2 SRGAP2C SS18 STARD9 STMN1 STMN3 SUN2 TACC1 TACC2 TACC3 TBCE TEX14 TNKS TPGS1 TPPP TPPP3 TRDN TRPV4 TTK TTL TTLL1 TTLL3 TTLL5 TTLL6 TUBA1A TUBA1B TUBA4A TUBB TUBB1 TUBG1 TUBG2 TUBGCP2 TUBGCP3 TUBGCP4 TUBGCP5 TUBGCP6 UBE2B ULK4 UXT WEE1 ZNF207 ZPR1 ZW10
spliceosomal tri-snRNP complex assembly	CD2BP2 DDX20 PRPF19 PRPF3 PRPF31 PRPF6 PRPF8 SART3 SRSF10 SRSF12 USP4
spliceosomal complex assembly	CRNKL1 DDX1 DDX39B GCFC2 GEMIN2 GEMIN6 PRPF19 PRPF6 RBM5 SCAF11 SF1 SMN1 SNRPD1 SNRPD2 SNRPE SNRPG SRPK2 TXNL4A USP39 ZRSR2
mitochondrial fission	ATG3 BAX BNIP3 CCAR2 COX10 DNM1L ERBB4 FIS1 GDAP1 GGNBP1 LPIN1 MFF MIEF1 MTFP1 MTFR1 MTFR2 MUL1 NPTX1 OPA1 PARK2
polysaccharide biosynthetic process	ACADM AGL AKT1 AKT2 ALG1 B3GNT1 B3GNT5 B3GNT8 CERCAM CMAS COLGALT1 COLGALT2 CSGALNACT1 CSGALNACT2 EPM2A EXT1 EXT2 GBE1 GCK GYG1 GYG2 GYS1 GYS2 HAS1 HAS2 HAS3 MAT2B NANS NDST1 NHLRC1 NR1D1 PER2 PGM1 PGM2 PGM2L1 PGM5 PHKG1 PHKG2 PPP1R3C PRKAG3 PTGES3 RPS27A TP53RK UBA52 UBB UBC UGP2
polysaccharide catabolic process	ADRB1 AGL CALM1 CHIA CHIT1 CPS1 G6PC GAA GYG1 GYG2 MANBA MGAM PGM1 PGM2 PHKA1 PHKA2 PHKB PHKG1 PHKG2 PYGB PYGL PYGM
mitotic cell cycle	AAAS ACTR1A AHCTF1 AJUBA AKAP9 ALMS1 ANAPC1 ANAPC10 ANAPC11 ANAPC2 ANAPC4 ANAPC5 ANAPC7 ANKLE2 APITD1 ARPP19 AURKA AURKB AZI2 B9D2 BANF1 BIRC5 BLZF1 BORA BTRC BUB1 BUB1B BUB3 CASC5 CCNA1 CCNA2 CCNB1 CCNB2 CCND1 CCNE1 CCNE2 CCNH CCP110 CDC16 CDC20 CDC23 CDC25A CDC25B CDC25C CDC26 CDC27 CDC45 CDC6 CDC7 CDCA5 CDCA8 CDH13 CDK1 CDK2 CDK4 CDK5RAP2 CDK6 CDK7 CDKN1A CDKN1B CDKN2A CDKN2B CDKN2C CDKN2D CDT1 CENPA CENPC CENPE CENPF CENPH CENPI CENPJ CENPK CENPL CENPM CENPN CENPO CENPP CENPQ CENPT CENPU CENPW CEP131 CEP135 CEP152 CEP164 CEP192 CEP250 CEP290 CEP41 CEP57 CEP63 CEP70 CEP72 CEP76 CEP78 CETN2 CIB1 CKAP5 CKS1B CLASP1 CLASP2 CLIP1 CNTRL CSNK1D CSNK1E CSNK2A1 CSNK2A2 CSNK2B CUL1 DBF4 DCTN1 DCTN2 DCTN3 DHFR DNA2 DSN1 DYNC1H1 DYNC1I2 DYNLL1 DYRK1A E2F1 E2F2 E2F3 E2F4 E2F5 E2F8 EMD ENSA EP300 ERCC6L ESCO1 ESCO2 ESPL1 FBXO5 FBXW11 FEN1 FER FGFR1OP FOXM1 FZR1 GINS1 GINS2 GINS4 GMNN GOLGA2 GORASP1 GORASP2 HAUS2 HDAC1 HDAC8 HIST1H4A HSP90AA1 INCENP ITGB3BP KIF18A KIF18B KIF20A KIF23 KIF2A KIF2B KIF2C KNTC1 LIG1 LIN37 LIN52 LIN54 LIN9 LMNA MAD1L1 MAD2L1 MAPRE1 MASTL MAU2 MCM10 MCM2 MCM3 MCM4 MCM5 MCM6 MCM7 MCM8 MCPH1 MIS12 MNAT1 MYBL2 NCAPD2 NCAPD3 NCAPG NCAPG2 NCAPH NCAPH2 NDC80 NDE1 NDEL1 NEDD1 NEK2 NEK6 NEK9 NINL NIPBL NSL1 NUDC NUF2 NUMA1 NUP107 NUP133 NUP153 NUP155 NUP160 NUP188 NUP205 NUP210 NUP214 NUP35 NUP37 NUP43 NUP50 NUP54 NUP62 NUP85 NUP88 NUP93 NUP98 NUPL1 NUPL2 ODF2 OFD1 OPTN ORC1 ORC2 ORC3 ORC4 ORC5 ORC6 PAFAH1B1 PCM1 PCNA PCNT PDS5A PDS5B PHF13 PHF8 PKMYT1 PLK1 PLK3 PLK4 PMF1 POLA1 POLA2 POLD1 POLD2 POLD3 POLD4 POLE POLE2 POM121 PPP1CB PPP1CC PPP1R12A PPP1R12B PPP2CA PPP2R1A PPP2R2A PPP2R2D PPP2R3B PRDM5 PRIM1 PRIM2 PRKACA PRKAR2B PSMA1 PSMA2 PSMA3 PSMA4 PSMA5 PSMA6 PSMA7 PSMA8 PSMB1 PSMB10 PSMB11 PSMB2 PSMB3 PSMB4 PSMB5 PSMB6 PSMB7 PSMB8 PSMB9 PSMC1 PSMC2 PSMC3 PSMC4 PSMC5 PSMC6 PSMD1 PSMD10 PSMD11 PSMD12 PSMD13 PSMD14 PSMD2 PSMD3 PSMD4 PSMD5 PSMD6 PSMD7 PSMD8 PSMD9 PSME1 PSME2 PSME3 PSME4 PSMF1 PTPN11 PTPN6 PTTG1 RAB1A RAB2A RAB8A RAD21 RAE1 RANBP2 RANGAP1 RB1 RBBP4 RBL1 RBL2 RCC2 RFC1 RFC2 RFC3 RFC4 RFC5 RNF2 RPA1 RPA2 RPA3 RPA4 RPS27 RPS27A RRM1 RRM2 SDCCAG8 SEC13 SEH1L SET SETD8 SFI1 SGOL1 SGOL2 SKA1 SKA2 SKP1 SKP2 SMC1A SMC2 SMC3 SMC4 SOX2 SPC24 SPC25 SPDL1 SSNA1 STAG1 STAG2 TAOK1 TFDP1 TFDP2 TOP2A TPR TUBA1A TUBA4A TUBB TUBB4A TUBB4B TUBG1 TUBG2 TUBGCP2 TUBGCP3 TUBGCP4 TUBGCP5 TUBGCP6 TYMS UBA3 UBA52 UBB UBC UBE2C UBE2D1 UBE2E1 USO1 USP3 VRK1 WAPAL WEE1 XPO1 XRCC2 YWHAE YWHAG ZW10 ZWILCH ZWINT
nuclear division	ABL1 ACTR8 AKAP8 ANAPC1 ANAPC10 ANAPC11 ANAPC13 ANAPC15 ANAPC16 ANAPC2 ANAPC4 ANAPC5 ANAPC7 ANKLE2 ANLN APITD1 ARHGEF2 ARL8A ARPP19 ASPM ASUN ASZ1 AURKA AURKB BIRC5 BIRC6 BOD1 BOLL BORA BRCA2 BRDT BRSK2 BUB1 BUB1B CASC5 CCNA1 CCNA2 CCNB2 CCNF CCNG1 CCNG2 CCNK CD2AP CDC16 CDC20 CDC23 CDC25A CDC25B CDC25C CDC26 CDC6 CDCA2 CDCA3 CDCA5 CDK1 CDK11A CDK11B CDK2 CDK3 CENPC CENPF CENPN CENPT CENPV CENPW CEP164 CEP55 CEP63 CETN1 CETN2 CETN3 CHFR CIT CKAP5 CKS2 CLASP2 CLIP1 CLTC CLTCL1 CSNK1A1 CYP26B1 DAZL DCLRE1A DCTN1 DCTN2 DCTN3 DDX4 DIS3L2 DMC1 DMRTC2 DPEP3 DSN1 DUSP13 DYNC1LI1 DYNLT1 DYNLT3 E4F1 EML4 ENSA ERCC6L EREG FAM64A FAM83D FANCA FBXL7 FBXW5 FIGN FKBP6 FSD1 FZR1 GEM HAUS1 HAUS2 HAUS3 HAUS4 HAUS5 HAUS6 HAUS7 HAUS8 HCA90 HELLS HEPACAM2 HGF HMGA2 HORMAD1 HORMAD2 HSF1 HSMCR30 HSPA2 INCENP ING2 ITGB3BP JTB KATNA1 KIAA0430 KIF11 KIF15 KIF20B KIF22 KIF2A KIF2B KIF2C KLHL13 KLHL21 KLHL42 KLHL9 KNTC1 LATS1 LATS2 LFNG LMLN LRRCC1 LZTS2 MAD1L1 MAD2L2 MAEL MAP2K1 MAPRE1 MAPRE2 MAPRE3 MASTL MCMBP MEI1 MEIOB MIS12 MIS18A MIS18BP1 MISP MKI67 MLH3 MPLKIP NCAPG2 NDC80 NDE1 NEDD1 NEDD9 NEK1 NEK2 NEK3 NEK4 NEK6 NEK9 NOLC1 NSL1 NSMCE2 NSUN2 NUDC NUF2 NUMA1 NUP37 NUP43 OFD1 OIP5 PAFAH1B1 PAPD5 PBK PBRM1 PIM2 PKMYT1 PLD6 PLK1 PLK5 PMF1 PPP1R12A PPP2R2D PPP5C PRKAR1A PSMD13 PTTG1 RAD21 RAD51 RAD51C RAD54L RAN RBBP8 RCC1 RCC2 REC8 RECQL5 REEP3 REEP4 RGS14 RNF8 RPA1 RPS6 RSPO1 RUVBL1 SAC3D1 SEPT2 SEPT7 SETD8 SETDB2 SGOL1 SIRT2 SKA1 SKA2 SKA3 SLC2A8 SMC1A SMC1B SMC3 SMC5 SNX18 SNX33 SNX9 SPC24 SPC25 SPDYA SPO11 SSSCA1 STAG1 STAG2 STRA13 SUGT1 SUV39H2 SYCP2 SYCP3 TADA3 TAF1L TDRD12 TDRD9 TDRKH TERF1 TEX14 TEX15 TEX40 TIMELESS TIPIN TNKS TOP3A TPR TPX2 TRIOBP TRIP13 TTC28 TTYH1 TXNL4A TXNL4B UBE2I UBR2 UNKNOWN USP16 USP37 USP44 USP9X VCPIP1 VRK1 WAPAL WASL WEE1 WEE2 XRCC2 YEATS4 ZC3HC1 ZFP42 ZNF830 ZW10 ZWILCH
mitotic cytokinesis	ANK3 ANLN APC BBS4 CEP55 CFL1 CKAP2 CUL7 DAXX H3BNH8 MITD1 MYH10 NUSAP1 PLK1 RACGAP1 RASA1 SNX18 SNX33 SNX9 SPTBN1 STAMBP USP8
nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	CNOT1 CNOT10 CNOT11 CNOT2 CNOT3 CNOT4 CNOT6 CNOT6L CNOT7 CNOT8 DCP1A DCP1B DCP2 DCPS DDX6 DIS3 EDC3 EDC4 EIF4A1 EIF4A2 EIF4A3 EIF4B EIF4E EIF4G1 EXOSC1 EXOSC2 EXOSC3 EXOSC4 EXOSC5 EXOSC6 EXOSC7 EXOSC8 EXOSC9 LSM1 LSM2 LSM3 LSM4 LSM5 LSM6 LSM7 PABPC1 PAIP1 PAN2 PAN3 PARN PATL1 POLR2D RQCD1 TNKS1BP1 XRN1 ZFP36 ZFP36L1 ZFP36L2
nuclear-transcribed mRNA poly(A) tail shortening	CNOT1 CNOT10 CNOT11 CNOT2 CNOT3 CNOT4 CNOT6 CNOT6L CNOT7 CNOT8 EIF4A1 EIF4A2 EIF4A3 EIF4B EIF4E EIF4G1 MLH1 PABPC1 PAIP1 PAN2 PAN3 PARN RQCD1 TNKS1BP1 ZFP36
nuclear-transcribed mRNA catabolic process, exonucleolytic	CNOT6 CNOT7 CNOT8 DCP1A DCP1B DCP2 DCPS DDX6 DIS3 DIS3L2 EDC3 EDC4 EXOSC1 EXOSC2 EXOSC3 EXOSC4 EXOSC5 EXOSC6 EXOSC7 EXOSC8 EXOSC9 LSM1 LSM2 LSM3 LSM4 LSM5 LSM6 LSM7 PATL1 POLR2G XRN1
retrograde transport, vesicle recycling within Golgi	CUX1 GCC1 GCC2 GOLGA1 GOLGA4 OPTN PACS1 RAB6A RGPD1 RGPD2 RGPD3 RGPD4 RGPD5 RGPD8 SORL1 TRIP11
response to reactive oxygen species	ADA ADAM9 AGAP3 AKR1C3 ANXA1 APEX1 APOA4 APOD APOE APTX AQP1 AREG ARG1 ATP7A AXL BAD BAK1 BCL2 BNIP3 BTK CAT CCL19 CCR7 CCS CDK1 CDK2 COL1A1 CRYAB CRYGD CST3 CYP11A1 CYP1B1 CYP2E1 DPEP1 DUOX1 DUOX2 DUSP1 ECT2 EGLN1 EPX ERCC6 ETS1 EZH2 FABP1 FANCC FER FKBP1B FOS FOSL1 FOXO1 FXN GLRX2 GNAO1 GPX1 GPX3 GPX4 GSTP1 HBA1 HBB HDAC6 HMOX1 HP HYAL1 HYAL2 IL18BP IL6 JUN KDM6B KLF2 KLF4 LCK LIG1 LPO MAP3K5 MAPK7 MAPK8 MB MDM2 MPO MPV17 MT3 MUC5B NET1 NFE2L2 NGF NQO1 OLR1 OSER1 PARK7 PAX2 PCGF2 PDGFRB PDK2 PKD2 PLEKHA1 PLK3 PPARGC1B PPIF PPP1R15B PPP2CB PRDX1 PRDX2 PRDX3 PRDX5 PRDX6 PRKAA1 PTK2B PTPRK PTPRN PXDN PXDNL PXN RELA RHOB ROMO1 S100A7 SCGB1A1 SDC1 SFTPC SIRT1 SLC8A1 SOD1 SOD2 SOD3 SPHK1 STAR STAT1 STAT6 TACR1 TNFAIP3 TPM1 TPO TRAF2 TRPA1 TRPC6 TXNIP TXNRD2 UCP2 UCP3 ZNF277 ZNF580
response to superoxide	APOA4 ATP7A CCS ERCC6 FANCC MPO MT3 NQO1 PRDX1 PRDX2 SOD1 SOD2 SOD3 UCP2 UCP3
response to oxygen radical	APOA4 ATP7A CCS ERCC6 FANCC MPO MT3 NQO1 PRDX1 PRDX2 SOD1 SOD2 SOD3 TXNRD2 UCP2 UCP3
protein deneddylation	COPS2 COPS3 COPS4 COPS5 COPS6 COPS7A COPS7B COPS8 GPS1 TOR1A
RNA splicing, via transesterification reactions	ALYREF AQR BCAS2 BUD13 CACTIN CCAR1 CD2BP2 CDC40 CDC5L CDK13 CELF3 CELF4 CLP1 CPSF1 CPSF2 CPSF3 CPSF7 CRNKL1 CSTF1 CSTF2 CSTF3 CWC15 CWC22 CWC27 DBR1 DCPS DDX23 DDX39A DDX39B DDX41 DDX5 DGCR14 DHX35 DHX38 DHX8 DHX9 DNAJC8 EFTUD2 EIF4A3 FRG1 FUS GEMIN2 GEMIN5 GEMIN6 GEMIN7 GPATCH1 GTF2F1 GTF2F2 HNRNPA0 HNRNPA1 HNRNPA1L2 HNRNPA2B1 HNRNPA3 HNRNPC HNRNPD HNRNPF HNRNPH1 HNRNPH2 HNRNPH3 HNRNPK HNRNPL HNRNPM HNRNPR HNRNPU HNRNPUL1 ISY1 KHSRP LSM1 LSM2 LSM3 MAGOH MBNL1 MPHOSPH10 NCBP1 NCBP2 NCBP2L NHP2L1 NOVA1 NUDT21 PABPC1 PABPN1 PAPOLA PAPOLB PCBP1 PCBP2 PCF11 PHF5A PLRG1 PNN POLR2A POLR2B POLR2C POLR2D POLR2E POLR2F POLR2G POLR2H POLR2I POLR2J POLR2K POLR2L PPIE PPIH PPIL1 PPIL3 PPWD1 PQBP1 PRPF19 PRPF3 PRPF31 PRPF4 PRPF4B PRPF6 PRPF8 PTBP1 RALY RBM17 RBM22 RBM5 RBM8A RBMX RNPS1 RSRC1 SART1 SCAF11 SF1 SF3A1 SF3A2 SF3A3 SF3B1 SF3B2 SF3B3 SF3B4 SF3B5 SF3B6 SFPQ SKIV2L2 SLU7 SMC1A SMNDC1 SNRNP200 SNRNP40 SNRNP70 SNRPA SNRPA1 SNRPB SNRPB2 SNRPC SNRPD1 SNRPD2 SNRPD3 SNRPE SNRPF SNRPG SNW1 SRRM1 SRRM2 SRSF1 SRSF10 SRSF11 SRSF2 SRSF3 SRSF4 SRSF5 SRSF6 SRSF7 SRSF9 SUGP1 SYF2 SYNCRIP TFIP11 TRA2A TRA2B TXNL4A U2AF1 U2AF2 UPF3B USP49 WBP4 WDR83 XAB2 YBX1 ZCCHC8 ZRSR2
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	ALYREF AQR BUD13 CACTIN CCAR1 CD2BP2 CDC40 CDC5L CDK13 CELF3 CELF4 CLP1 CPSF1 CPSF2 CPSF3 CPSF7 CRNKL1 CSTF1 CSTF2 CSTF3 CWC15 CWC22 CWC27 DBR1 DCPS DDX23 DDX39A DDX39B DDX41 DDX5 DGCR14 DHX35 DHX38 DHX8 DHX9 DNAJC8 EFTUD2 EIF4A3 FRG1 FUS GEMIN5 GEMIN6 GEMIN7 GPATCH1 GTF2F1 GTF2F2 HNRNPA0 HNRNPA1 HNRNPA1L2 HNRNPA2B1 HNRNPA3 HNRNPC HNRNPD HNRNPF HNRNPH1 HNRNPH2 HNRNPH3 HNRNPK HNRNPL HNRNPM HNRNPR HNRNPU HNRNPUL1 ISY1 LSM2 LSM3 MAGOH MBNL1 NCBP1 NCBP2 NCBP2L NHP2L1 NOVA1 NUDT21 PABPC1 PABPN1 PAPOLA PAPOLB PCBP1 PCBP2 PCF11 PHF5A PLRG1 PNN POLR2A POLR2B POLR2C POLR2D POLR2E POLR2F POLR2G POLR2H POLR2I POLR2J POLR2K POLR2L PPIE PPIH PPIL1 PPIL3 PPWD1 PQBP1 PRPF19 PRPF3 PRPF31 PRPF4 PRPF4B PRPF6 PRPF8 PTBP1 RALY RBM17 RBM22 RBM5 RBM8A RBMX RNPS1 RSRC1 SART1 SF1 SF3A1 SF3A2 SF3A3 SF3B1 SF3B2 SF3B3 SF3B4 SF3B5 SF3B6 SFPQ SKIV2L2 SLU7 SMC1A SNRNP200 SNRNP40 SNRNP70 SNRPA SNRPA1 SNRPB SNRPB2 SNRPC SNRPD1 SNRPD2 SNRPD3 SNRPE SNRPF SNRPG SNW1 SRRM1 SRRM2 SRSF1 SRSF10 SRSF11 SRSF2 SRSF3 SRSF4 SRSF5 SRSF6 SRSF7 SRSF9 SUGP1 SYF2 SYNCRIP TFIP11 TRA2A TRA2B TXNL4A U2AF1 U2AF2 UPF3B USP49 WBP4 WDR83 XAB2 YBX1 ZCCHC8 ZRSR2
alternative mRNA splicing, via spliceosome	CDK13 CELF4 HNRNPA1L2 HNRNPM MBNL1 PQBP1 PTBP1 RBM17 RSRC1 SFPQ SLU7 SRSF6
regulation of alternative mRNA splicing, via spliceosome	CELF3 CELF4 CELF6 DDX5 MAGOH MBNL1 MBNL2 MYOD1 NSRP1 PTBP1 RBFOX2 RBFOX3 RBM11 RBM15B RBM25 RBM4 RBM5 RBM8A RBMX RBMY1A1 RNPS1 SAP18 SRRM4 SRSF12 SRSF6 THRAP3 TRA2B WTAP
spliceosomal snRNP assembly	CD2BP2 CLNS1A DDX20 GEMIN2 GEMIN4 GEMIN5 GEMIN6 GEMIN7 GEMIN8 NCBP1 NCBP2 PHAX PRMT5 PRMT7 PRPF19 PRPF3 PRPF31 PRPF6 PRPF8 SART1 SART3 SMN1 SNRPB SNRPC SNRPD1 SNRPD2 SNRPD3 SNRPE SNRPF SNRPG SNUPN SRSF10 SRSF12 STRAP TGS1 USP4 WDR77
RNA splicing, via endonucleolytic cleavage and ligation	C14ORF166 CLP1 DDX1 RTCB TRPT1 TSEN15 TSEN2 TSEN34 TSEN54 ZBTB8OS
mRNA splicing, via spliceosome	ALYREF AQR BUD13 CACTIN CCAR1 CD2BP2 CDC40 CDC5L CDK13 CELF3 CELF4 CLP1 CPSF1 CPSF2 CPSF3 CPSF7 CRNKL1 CSTF1 CSTF2 CSTF3 CWC15 CWC22 CWC27 DBR1 DCPS DDX23 DDX39A DDX39B DDX41 DDX5 DGCR14 DHX35 DHX38 DHX8 DHX9 DNAJC8 EFTUD2 EIF4A3 FRG1 FUS GEMIN5 GEMIN6 GEMIN7 GPATCH1 GTF2F1 GTF2F2 HNRNPA0 HNRNPA1 HNRNPA1L2 HNRNPA2B1 HNRNPA3 HNRNPC HNRNPD HNRNPF HNRNPH1 HNRNPH2 HNRNPH3 HNRNPK HNRNPL HNRNPM HNRNPR HNRNPU HNRNPUL1 ISY1 LSM2 LSM3 MAGOH MBNL1 NCBP1 NCBP2 NCBP2L NHP2L1 NOVA1 NUDT21 PABPC1 PABPN1 PAPOLA PAPOLB PCBP1 PCBP2 PCF11 PHF5A PLRG1 PNN POLR2A POLR2B POLR2C POLR2D POLR2E POLR2F POLR2G POLR2H POLR2I POLR2J POLR2K POLR2L PPIE PPIH PPIL1 PPIL3 PPWD1 PQBP1 PRPF19 PRPF3 PRPF31 PRPF4 PRPF4B PRPF6 PRPF8 PTBP1 RALY RBM17 RBM22 RBM5 RBM8A RBMX RNPS1 RSRC1 SART1 SF1 SF3A1 SF3A2 SF3A3 SF3B1 SF3B2 SF3B3 SF3B4 SF3B5 SF3B6 SFPQ SKIV2L2 SLU7 SMC1A SNRNP200 SNRNP40 SNRNP70 SNRPA SNRPA1 SNRPB SNRPB2 SNRPC SNRPD1 SNRPD2 SNRPD3 SNRPE SNRPF SNRPG SNW1 SRRM1 SRRM2 SRSF1 SRSF10 SRSF11 SRSF2 SRSF3 SRSF4 SRSF5 SRSF6 SRSF7 SRSF9 SUGP1 SYF2 SYNCRIP TFIP11 TRA2A TRA2B TXNL4A U2AF1 U2AF2 UPF3B USP49 WBP4 WDR83 XAB2 YBX1 ZCCHC8 ZRSR2
protein peptidyl-prolyl isomerization	CWC27 FKBP10 FKBP11 FKBP12-EXIP2 FKBP14 FKBP15 FKBP1A FKBP1B FKBP1C FKBP2 FKBP3 FKBP4 FKBP5 FKBP6 FKBP7 FKBP8 FKBP9 FKBPL NKTR PIN1 PIN4 PPIA PPIAL4A PPIAL4D PPIAL4G PPIB PPIC PPID PPIE PPIF PPIG PPIH PPIL1 PPIL2 PPIL3 PPIL4 PPIL6 PPP2R4 PPWD1 RANBP2 TTC9B
maturation of 5.8S rRNA	C1D EXOSC10 EXOSC4 MPHOSPH6 NOL9 PES1 SKIV2L2 WDR12
